property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,,,,,,,,,
"2 BHK Apartment for Sale in Nakshatra Solitaire, Palanpur Surat",Super Area,1203,New Property,Ready to Move,6 out of 12,Unfurnished,East,Covered Allotted Car Parking at ground floor with security in individual buildingRead more,3832,4610000,,,,,,,2 BHK Apartment for Sale in Swagat Home Surat,3350000,3451
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat",Super Area,1200,Resale,Ready to Move,7 out of 14,Unfurnished,East,2.5 BHK Flat for sell in Jahangirabadarea with all amenities.,3750,4500000,,,,,,,2 BHK Apartment for Sale in Rustampura Surat,3400000,2787
"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",Carpet Area,1050,Resale,Ready to Move,2 out of 12,Furnished,East,"High Reach Aarkitack design, And Extra Space",3477,3650000,,,,,,,"2 BHK Apartment for Sale in JT JT Stuti Icon, Adajan Surat",3430000,2727
2 BHK House for Sale in Chalthan Surat,Carpet Area,1450,New Property,Ready to Move,Ground out of 1,Unfurnished,East,Part of Sugar factory employee resident project located on NH8,2118,3600000,,,,,,,2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,3500000,3333
1 BHK Apartment for Sale in Angan Appartment Surat,Carpet Area,695,Resale,Ready to Move,3 out of 4,Furnished,South - East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,3022,2100000,,,,,,,"2 BHK Apartment for Sale in Crystal Avenue, Palanpur Gam Surat",3500000,2811
"1 BHK Apartment for Sale in Ambika Township, Dindoli Surat",Super Area,630,New Property,Ready to Move,4 out of 5,Unfurnished,East,big space socity and nice public socity,2381,1500000,,,,,,,"2 BHK Apartment for Sale in Shagun Residency, Jahangir Pura Surat",3500000,2850
"1 BHK Penthouse for Sale in Echo Point, Althan Surat",Super Area,1190,New Property,Ready to Move,11 out of 11,Furnished,East,1bhk   terrace 100 sqft available flat at althan road,3613,4300000,,,,,,,2 BHK Apartment for Sale in Jay Mahakali Krupa Apartment Surat,3500000,3684
"2 BHK Apartment for Sale in Samruddhi Apartment, Gopi Pura Surat",Carpet Area,855,New Property,Ready to Move,3 out of 4,Semi-Furnished,West,Low Rise building,2527,3000000,,,,,,,"2 BHK Apartment for Sale in Ravi Darshan Apartment, Citylight Area Surat",3500000,3889
"2 BHK Apartment for Sale in Siddhi Vinayak Residency, Sachin Surat",Super Area,1075,New Property,Ready to Move,6 out of 10,Semi-Furnished,East,middle in Sachin market school hospital post etc near walking distanceRead more,2512,2700000,,,,,,,2 BHK Apartment for Sale in Salabatura Surat,3500000,3182
"2 BHK Apartment for Sale in Sumeru Sky Residency, Mota Varachha Surat",Carpet Area,800,New Property,Ready to Move,8 out of 13,Furnished,North,total base ment parking,4091,4500000,,,,,,,2 BHK Apartment for Sale in Honey Park Surat,3500000,3043
2 BHK House for Sale in Olpad Surat,Super Area,900,New Property,Ready to Move,1 out of 1,Unfurnished,North - East,"Property is located at masma to olpad main road, opp. Cng pump, olpad, surat. Construction is 1 year old. Property located touched to 4 lane road. Small society of 250 houses and almost 7080 occupancy ratio. 24 hours water supply. Under ground 1000 ltr tank and 1000 ltr at terrace. 2 bedroom with 1 master & 1 hall available. Ryan international school & vibrant public school near around 2 km. Vegetable market and grocery stores available within 2 km. For more details contact me.Read more",3222,2900000,,,,,,,"2 BHK Apartment for Sale in Vaishnodevi Residency, Dahin Nagar Surat",3500000,3182
"2 BHK Apartment for Sale in Nilkanth Seven Homes, Dindoli Surat",Super Area,1120,New Property,Ready to Move,3 out of 7,Furnished,East,"East facing, Nr. FLower Garden.",3260,3650000,,,,,,,"2 BHK Apartment for Sale in Chanchal Rang Raag Residency, Jahangir Pura Surat",3530000,2646
1 BHK Apartment for Sale in star pavitra nagri kholvad Surat,Carpet Area,400,New Property,Ready to Move,7 out of 7,Unfurnished,East,penthouse 1 bhk flat with private terrace new construction,2750,2200000,,,,,,,"2 BHK Apartment for Sale in Orchid Blossom, Palanpur Surat",3600000,3429
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1187,New Property,Ready to Move,4 out of 5,Semi-Furnished,North - West,"it is a lowrise building,though on main road no traffic disturbances,as it is garden facing.Gaytri yagna perfomed in these two adjoing flats,next flat no.403B is also for sale,so u can buy both flats and can join to make giant Flats of 5 bedroom .with lower price.Read more",2485,2950000,,,,,,,2 BHK House for Sale in Chalthan Surat,3600000,2118
1 BHK Apartment for Sale in Kadodar Surat,Carpet Area,680,New Property,Ready to Move,2 out of 3,Unfurnished,East,"East Facing, Water",2400,1800000,,,,,,,"2 BHK Apartment for Sale in Divine Residency, Palanpur Gam Surat",3600000,3023
"2 BHK Penthouse for Sale in Gruham Luxuria, Masma Village Surat",Carpet Area,12,Resale,Ready to Move,Ground out of 2,Furnished,South,all facelift available in soc example by gym theatre library swimming pool Banquet Hall club houseRead more,76389,2750000,,,,,,,"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",3650000,3477
2 BHK Apartment for Sale in Bhumi complex Surat,Super Area,950,New Property,Ready to Move,3 out of 6,Semi-Furnished,North,"2 bhk semi furnished, very good ventilation, overlooking main road,Read more",3158,3000000,,,,,,,"2 BHK Apartment for Sale in Nilkanth Seven Homes, Dindoli Surat",3650000,3260
3 BHK Apartment for Sale in Adajan Surat,Super Area,1141,Resale,Ready to Move,2 out of 3,Unfurnished,East,very prime location with all facilities surrounding,3418,3900000,,,,,,,"3 BHK Apartment for Sale in Shri Bhakti Dharm Township, Jahangirabad Surat",3700000,2741
"2 BHK Apartment for Sale in Rajhans Gold Residency, Jahangir Pura Surat",Super Area,1175,Resale,Ready to Move,3 out of 5,Unfurnished,North - West,"2 BHK flat for sale at Rajhans Residency-Unfurnished, Jahagirpura, 1175 sq-feet. Campus facing, wind direction, Vastu complied. Visit available with prior Intimation. Expected price 34L negotiable.Read more",3234,3800000,,,,,,,"2 BHK Apartment for Sale in Times Galaxy, Bhesan Gam Surat",3800000,3290
"2 BHK Apartment for Sale in Ambica Arihant Heights, Palan Pur Patiya Surat",Carpet Area,600,New Property,Ready to Move,8 out of 12,Semi-Furnished,South - East,"All rooms Tube light  and Fan installed, kitchen trolley availableRead more",3611,4200000,,,,,,,"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",3800000,2978
2 BHK Apartment for Sale in Jay Mahakali Krupa Apartment Surat,Carpet Area,700,New Property,Ready to Move,4 out of 5,Unfurnished,East,5 th floor buildind total 10 flat,3684,3500000,,,,,,,2 BHK Apartment for Sale in Varachha Surat,3800000,3838
3 BHK Penthouse for Sale in Lajpur Surat,Super Area,1600,New Property,Ready to Move,3 out of 3,Furnished,North,"Excellant location with entire village and surrounding views in village LAJPUR, very close to SACHINE and in between SURAT and NAVSARI.Read more",2812,4500000,,,,,,,"2 BHK Apartment for Sale in Rajhans Gold Residency, Jahangir Pura Surat",3800000,3234
2 BHK Builder Floor for Sale in Near Arya Club Tena Village Surat,Carpet Area,500,New Property,Ready to Move,5 out of 5,Unfurnished,North,"just 18 km from adajan and 5 km from mora tekra, best for second weekend home , investment, rent income..   Loan facility, Rent income ,property managment available. only Rs.51000 token and rest via loan with free stemp duty and 6 month EMI and bank chargesRead more",2373,1850000,,,,,,,2 BHK House for Sale in Kawas Surat,3800000,2815
1 BHK Apartment for Sale in Kailash Nagar Surat,Carpet Area,786,New Property,Ready to Move,6 out of 11,Furnished,South,1 bhk flat only for Jains fully furnished ready to move with Jain temple and Jain upasharyaRead more,3562,2800000,,,,,,,"2 BHK Apartment for Sale in Green City, Pal Surat",3800000,3164
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Carpet Area,713,New Property,Ready to Move,4 out of 15,Unfurnished,North - East,Luxurious 2 Bhk Flat For Sell In Althan,3498,4380000,,,,,,,"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",3800000,3918
2 BHK House for Sale in Kawas Surat,Super Area,1350,New Property,Ready to Move,1 out of 2,Unfurnished,North,Good society with Rcc roadgood amenities and well behaving families around.Read more,2815,3800000,,,,,,,"3 BHK Apartment for Sale in AG Sentosa Enclave, Godadara Surat",3810000,2977
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1180,New Property,Ready to Move,5 out of 5,Unfurnished,East,Multistorey Apartment is located at the advantageous 5th floor in a tower of total 5 floors.Read more,2415,2850000,,,,,,,2 BHK Apartment for Sale in Bhesan Gam Surat,3900000,3377
5 BHK House for Sale in Sarsana Surat,Super Area,1235,New Property,Ready to Move,Ground out of 1,Semi-Furnished,East,  Residential House faces East direction & is built upto 1 floors. Spacious interiors and well maintained house makes it a superb deal for sale. This spacious Residential House was constructed approx. 10 to 15 years years back. Read more,4049,5000000,,,,,,,1 BHK Apartment for Sale in Adajan Surat,3900000,5096
1 BHK Apartment for Sale in Suman Vihar Surat,Carpet Area,385,New Property,Ready to Move,8 out of 8,Unfurnished,East,"1BHK with only single tower in project, peaceful environment",3556,1600000,,,,,,,2 BHK Apartment for Sale in Nana Varachha Surat,3900000,3269
1 BHK Apartment for Sale in Subhash Nagar Surat,Carpet Area,575,Resale,Ready to Move,3 out of 4,Semi-Furnished,North - West,Road touch Widow in all rooms and balconie,3833,2300000,,,,,,,"2 BHK Apartment for Sale in JT Stuti Icon, Palanpur Surat",3980000,3165
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,1276,Resale,Ready to Move,10 out of 13,Unfurnished,West,Multistorey apartment is available for sale. Ready to move in with garden view flat.Read more,2978,3800000,,,,,,,2 BHK Penthouse for Sale in L P Savani Surat,3990000,4006
"2 BHK Apartment for Sale in Aksharkunj apartment, Udhna Surat",Carpet Area,675,Resale,Ready to Move,Ground out of 4,Semi-Furnished,South - East,"It is near to Lord Shiva Temple, 2 School, Garden, Market, Mall, Railway StationRead more",2817,2000000,,,,,,,2 BHK Apartment for Sale in Bhatar Surat,4000000,3752
2 BHK Apartment for Sale in Radhakishan Flats Surat,Carpet Area,650,Resale,Ready to Move,4 out of 8,Unfurnished,North,Located at Very Prime area All facilities nearby available.Good peopleRead more,2624,2650000,,,,,,,"2 BHK Apartment for Sale in Stuti Empress, Palan Pur Patiya Surat",4000000,3205
2 BHK House for Sale in Udhana Surat,Carpet Area,1080,Resale,Ready to Move,1 out of 2,Unfurnished,North,adajan bus depot is within half k.m,3796,4100000,,,,,,,"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",4100000,3280
"2 BHK Apartment for Sale in JT Stuti Icon, Palanpur Surat",Super Area,1256,Resale,Ready to Move,13 out of 13,Furnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.8l2849723o palakbaban11Read more,3165,3980000,,,,,,,"2 BHK Apartment for Sale in Coral Heights, Vesu Canal Road Surat",4100000,3291
1 BHK Apartment for Sale in Bhagal Surat,Carpet Area,90,Resale,Ready to Move,1 out of 1,Unfurnished,East,"1 RK , 1st floor",16667,1500000,,,,,,,2 BHK House for Sale in Udhana Surat,4100000,3796
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1175,Resale,Ready to Move,2 out of 7,Furnished,East,spacious,3404,4000000,,,,,,,4 BHK House for Sale in Udhana Surat,4100000,3796
2 BHK Apartment for Sale in Devadh Surat,Super Area,1065,Resale,Ready to Move,3 out of 5,Semi-Furnished,North,"fully vastu, South West flat",2347,2500000,,,,,,,2 BHK Apartment for Sale in Swayam Residency Surat,4200000,3500
"3 BHK Apartment for Sale in AG Sentosa Enclave, Godadara Surat",Carpet Area,1100,Resale,Ready to Move,2 out of 5,Unfurnished,West,"Home buyers an appealingly designed 3 BHK flat is available for sale in AG Sentosa Enclave, Godadara, Surat. This is a pretty new property with the age of construction less than 5 years and is close to key infrastructures. Hence, considering this abode to settle down with your loved ones is a wise choice.Property SpecificationsWest facing, this 3 BHK flat is positioned on the 2nd floor of a 5-storey building and is well-configured to receive adequate natural light and ventilation. Covering a carpet area of 1100 sqft, this flat is remarkably designed to offer comfortable living space.Presented unfurnished, this flat encompasses 3 comfy bedrooms, 3 bathrooms  1 Indian, 2 Western with geysers, a separate living  dining area, and a kitchen with an attached utility area. That is not all, there is a balcony linked to the hall and one can get a view of the main road.Furthermore, two of the bathrooms are ensuite with bedrooms for extra comfort while the 3rd bathroom is for common use. The flooring throughout the flat is adorned with elegant marble, adding a touch of sophistication to the ambiance. Whether youre looking for a comfortable family home or a wise investment opportunity, this property has it all.FacilitiesThis property provides convenient amenities including covered parking, 247 water supply, 100 power backup, security guards, CCTV surveillance, and a lift. Plus, a garden, sports room, and a party hall auditorium for leisure and entertainment are also available.LocalityThis property boasts a strategic location near several key landmarks. Shantikunj garden and Dindoli railway crossing are just a stones throw away, adding to the scenic beauty and convenience of the area. Social amenities such as schools, hospitals, malls, and supermarkets are walking distance away, and banking needs are met with close-by banks and ATMs.Public transport is easily accessible, enhancing your convenience. Also, Dindoli Railway Station is 2 to 4 km away and Godadara Railway Station is at a stretch of 4 km. This location offers the perfect blend of comfort and accessibility for a vibrant and well-connected lifestyle.Read more",2977,3810000,,,,,,,"2 BHK Apartment for Sale in Green City, Bhatha Surat",4200000,3784
